STATUS | wrapper  | 2013/05/22 13:28:50 | --> Wrapper Started as Console
STATUS | wrapper  | 2013/05/22 13:28:50 | Launching a JVM...
2013.05.22 13:29:03 INFO  org.sonar.INFO  Register rules [grvy/grvy] done: 106 ms
2013.05.22 13:29:03 INFO  org.sonar.INFO  Register rules [checkstyle/java]...
2013.05.22 13:29:03 INFO  org.sonar.INFO  128 rules
2013.05.22 13:29:04 INFO  org.sonar.INFO  Register rules [checkstyle/java] done: 366 ms
2013.05.22 13:29:04 INFO  org.sonar.INFO  Register rules [pmd/java]...
2013.05.22 13:29:04 INFO  org.sonar.INFO  232 rules
2013.05.22 13:29:04 INFO  org.sonar.INFO  Register rules [pmd/java] done: 583 ms
2013.05.22 13:29:04 INFO  org.sonar.INFO  Register rules [pmd-unit-tests/java]...
2013.05.22 13:29:04 INFO  org.sonar.INFO  10 rules
2013.05.22 13:29:04 INFO  org.sonar.INFO  Register rules [pmd-unit-tests/java] done: 47 ms
2013.05.22 13:29:04 INFO  org.sonar.INFO  Register rules [squid/java]...
2013.05.22 13:29:04 INFO  org.sonar.INFO  18 rules
2013.05.22 13:29:04 INFO  org.sonar.INFO  Register rules [squid/java] done: 93 ms
2013.05.22 13:29:04 INFO  org.sonar.INFO  Register rules [common-java/java]...
2013.05.22 13:29:04 INFO  org.sonar.INFO  6 rules
2013.05.22 13:29:04 INFO  org.sonar.INFO  Register rules [common-java/java] done: 0 ms
2013.05.22 13:29:04 INFO  org.sonar.INFO  Disable deprecated user rules...
2013.05.22 13:29:04 INFO  org.sonar.INFO  Disable deprecated user rules done: 31 ms
2013.05.22 13:29:04 INFO  o.s.s.s.RegisterNewProfiles  Register Quality Profiles...
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewProfiles  Register grvy profile: Sonar way
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewProfiles  Set default grvy profile: Sonar way
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewProfiles  Register java profile: Sonar way with Findbugs
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewProfiles  Register java profile: Sonar way
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewProfiles  Register java profile: Sun checks
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewProfiles  Set default java profile: Sonar way
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewProfiles  Register Quality Profiles done: 2655 ms
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterQualityModels  Register Quality Models...
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterQualityModels  Register Quality Models done: 0 ms
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filters...
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filter: Projects
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filter: My favourites
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewMeasureFilters  Register measure filters done: 16 ms
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewDashboards  Register dashboards...
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: Dashboard
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: Home
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: Hotspots
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: Reviews
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewDashboards  Register dashboard: TimeMachine
2013.05.22 13:29:07 INFO  o.s.s.s.RegisterNewDashboards  Register dashboards done: 46 ms
2013.05.22 13:29:07 INFO  o.s.s.s.RenameDeprecatedPropertyKeys  Rename deprecated property keys
